task_id,seed_index,answer_seed,perfect_seconds,removed_prefill_seconds,perfect_passed,A_minus_perfect_seconds,B_minus_perfect_seconds,D_minus_perfect_seconds,ROTATING_H_minus_perfect_seconds
leetcode/3788,1,742180843105321238,1020.3763821600005,2.694383609574288,False,10.87041250942275,-674.3305054074153,2.694383609574288,2.147530237212777
leetcode/3788,2,2575048320639776507,1021.5379447457381,2.694383609574288,False,10.141312659252435,-676.2667427463457,2.694383609574288,4.737564200069755
atcoder/abc393_b,0,2292829113584463531,349.94644119404256,0.5894307652488351,True,12.681573760230094,-226.46480441000313,0.5894307652488351,2.583652803208679
atcoder/abc393_b,1,5289394041489309004,352.38311767438427,0.5894307652488351,True,9.217996935825795,-229.95948055619374,0.5894307652488351,0.6810127724893391
atcoder/abc393_b,2,5810831660655144303,351.04773504752666,0.5894307652488351,True,12.297446008771658,-224.62828005384654,0.5894307652488351,-11.748622716870159
leetcode/3682,0,8686768016373385497,515.9141297643073,0.9542765840888023,True,14.325642510782927,-237.00077872956172,0.9542765840888023,97.06003776751459
leetcode/3682,1,5808861892274188736,516.5664774901234,0.9542765840888023,True,10.76412897463888,-238.04039956675842,0.9542765840888023,40.36500911740586
leetcode/3682,2,1704127010432641799,515.8836584668607,0.9542765840888023,True,16.917416523210704,-235.397113034036,0.9542765840888023,10.534659266937524
leetcode/3744,0,6930982558265941832,546.480409280397,1.0861219898797572,True,14.274487811140716,-245.6546369367279,1.0861219898797572,5.51924461312592
leetcode/3744,1,6095815093841255860,548.3110762815922,1.0861219898797572,True,11.200336936395615,-249.8613353795372,1.0861219898797572,2.771051501855254
leetcode/3744,2,6818537377799073265,548.4789815517142,1.0861219898797572,True,9.314850240014493,-249.39059814438224,1.0861219898797572,0.732774923555553
atcoder/abc398_g,0,7057356574143599822,654.7471641823649,1.434759627096355,False,9.029494296293706,-71.46225994406268,1.434759627096355,-0.3525758748874068
atcoder/abc398_g,1,1251248926766354417,653.9223495000042,1.434759627096355,False,8.938318140339106,-72.01682826783508,1.434759627096355,0.8531970484182239
atcoder/abc398_g,2,2095362392163637825,654.209360581357,1.434759627096355,False,11.511941314674914,-72.45963285444304,1.434759627096355,3.0926500111818314
atcoder/abc398_d,0,8057048407337839277,704.3501299377531,1.5950301438570023,True,9.658502490259707,15.11136591527611,1.5950301438570023,101.03677385626361
